Rank,Song,Artist,Year,Lyrics,Source,spotify_ID
4,you were on my mind,we five,1965, when i woke up this morning you were on my mind and you were on my mind i got troubles whoaoh i got worries whoaoh i got wounds to bind so i went to the corner just to ease my pains yeah just to ease my pains i got troubles whoaoh i got worries whoaoh i came home again when i woke up this morning you were on my miiiind and you were on my mind i got troubles whoaoh i got worries whoaoh i got wounds to bind and i got a feelin down in my shooooooes said way down in my shooooes yeah i got to ramble whoaoh i got to move on whoaoh i got to walk away my blues when i woke up this morning you were on my mind you were on my mind i got troubles whoaoh i got worries whoaoh i got wounds to bind ,1,36ckFm0oicmvX8bWEErIHd
9,crying in the chapel,elvis presley,1965, you saw me crying in the chapel the tears i shed were tears of joy i know the meaning of contentment i am happy with the lordjust a plain and simple chapel where all bumble people go to pray i prayed the lord that ill grow stronger as i live from day to dayi searched i searched and i searched i searched but i couldnt find no way on earth to gain peace of mindnow im happy in the chapel where people are of one accord one accord yes we gather in the chapel just to sing and praise the lordyoull search and youll search but youll never find no way on earth to find peace of mindtake your troubles to the chapel get down on your knees and pray then your burdens will be lighter and youll surely find the way and youll surely find the way ,1,1Vzr9AOdHw65UHoK1Vuxls
10,my girl,the temptations,1965,ive got sunshine on a cloudy day when its cold outside ive got the moth of may well i guess you say what can make me feel this way my girl talkin bout my girl my girl ive got so much honey the bees envy me ive got a sweeter song than the birds in the trees well i guess you say what can make me feel this way my girl talkin bout my girl my girl i dont need no money fortune or fame i got all the riches baby one man can claim well i guess you say what can make me feel this way my girl talkin bout my girl my girl i got sunshine on a cloudy day with my girl ive even got the month of may with my girl talkin bout talkin bout my girl my girl all i can talk about is my girl my girl,3,6jWkZvd1URGktyTTwcpPpB
12,king of the road,roger miller,1965, trailer for sale or rent rooms to let fifty cents no phone no pool no pets i aint got no cigarettes ah but two hours of pushin broom buys an eight by twelve fourbit room im a man of means by no means king of the roadthird boxcar midnight train destination bangor maine old worn out clothes and shoes i dont pay no union dues i smoke old stogies i have found short but not too big around im a man of means by no means king of the roadi know every engineer on every train all of their children and all of their names and every handout in every town and every lock that aint locked when no ones aroundi sing trailers for sale or rent rooms to let fifty cents no phone no pool no pets i aint got no cigarettes ah but two hours of pushin broom buys an eight by twelve fourbit room im a man of means by no means king of the road ,1,5i58Eswru0w2z9rM8FcmDH
21,unchained melody,the righteous brothers,1965, oh my love my darling ive hungered for your touch a long lonely time time goes by so slowly and time can do so much are you still mine i need your love i need your love god speed your love to me    meaning  byamandah   editor    written in 1955 unchained melody has become one of the mostrecorded songs of the 20th centurythe righteous brothers version remaining probably the most    see all   lonely rivers flow to the sea to the sea to the open arms of the sea lonely rivers sigh wait for me wait for me ill be coming home wait for meoh my love my darling ive hungered for your touch a long lonely time time goes by so slowly and time can do so much are you still mine i need your love i need your love god speed your love to me lonely mountains gaze at the stars at the stars waiting for the dawn of the dayall alone i gaze at the stars at the stars dreaming of my love far away ,1,1jFhnVoJkcB4lf9tT0rSZS
26,cast your fate to the wind,sounds orchestral,1965,a month of nights a year of days octobers drifting into mays i set my sail when the tide comes in i just cast my fate to the wind i shift my course along the breeze wont sail upwind on memories the empty sky is my best friend i just cast my fate to the wind a month of nights a year of days octobers drifting into mays i set my sail when the tide comes in i just cast my fate to the wind,3,38KTIenSEnoGNGLUrYdFLV
29,eve of destruction,barry mcguire,1965, the eastern world it is explodin violence flarin bullets loadin youre old enough to kill but not for votin you dont believe in war but whats that gun youre totin and even the jordan river has bodies floatinbut you tell me over and over and over again my friend ah you dont believe were on the eve of destructiondont you understand what im trying to say cant you feel the fears that im feeling today if the button is pushed theres no running away therell be none to save with the world in a grave take a look around you boy its bound to scare you boyand you tell me over and over and over again my friend ah you dont believe were on the eve of destructionyeah my bloods so mad feels like coagulatin im sittin here just contemplatin i cant twist the truth it knows no regulation handful of senators dont pass legislationand marches alone cant bring integration when human respect is disintegratin this whole crazy world is just too frustratinand you tell me over and over and over again my friend ah you dont believe were on the eve of destructionthink of all the hate there is in red china then take a look around to selma alabama ah you may leave here for four days in space but when you return its the same old placethe poundin of the drums the pride and disgrace you can bury your dead but dont leave a trace hate your next door neighbor but dont forget to say graceand tell me over and over and over and over again my friend you dont believe were on the eve of destruction no no you dont believe were on the eve of destruction ,1,1x95pWB3KeK3evKa1VrW6e
30,hang on sloopy,the mccoys,1965,hang on sloopy sloopy hang on hang on sloopy sloopy hang on sloopy lives in a very bad part of town and everybody there tries to put my sloopy down sloopy i dont care what your daddy do cause you know sloopy girl im in love with you and so im singing yeah yeah yeah yeah sloopy let your hair down girl let it run down on me sloopy let your hair down girl let it run down on me come on sloopy come on come on come on sloopy come on come on well come on sloopy come on come on well come on sloopy come on come on well it feels so good come on come on you know it feels so good come on come on well shake it shake it shake it sloopy come on come on well shake it shake it shake it yeah yeah yeah yeah yeah yeah,3,0i7O5MtSTXvR4BEY7stpjF
32,red roses for a blue lady,bert kaempfert,1965,i want some red roses for a blue lady mister florist take my order please we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown i want some red roses for a blue lady we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown your best white orchid for her wedding gown,3,4GXXOBUEpCr58TFHIkLrZ0
35,the name game,shirley ellis,1965,shirley ellis miscellaneous the name game the name game shirley  shirley shirley bo birley bonana fanna fo firley  fee fy mo mirley shirley lincoln  lincoln lincoln bo bincoln bonana fanna fo fincoln  fee fy mo mincoln lincoln come on everybody i say now lets play a game i betcha i can make a rhyme out of anybodys name the first letter of the name i treat it like it wasnt there but a b or an f or an m will appear and then i say bo add a b then i say the name and bonana fanna and a fo and then i say the name again with an f very plain  and a fee fy and a mo and then i say the name again with an m this time  and there isnt any name that i cant rhyme arnold  arnold arnold bo barnold bonana fanna fo farnold  fee fy mo marnold arnold but if the first two letters are ever the same  i drop them both and say the name like  bob bob drop the bs bo ob  for fred fred drop the fs fo red  for mary mary drop the ms mo ary  thats the only rule that is contrary okay now say bo bo  now tony with a b bony then bonana fanna fo bonana fanna fo then you say the name again with an f very plain fony then a fee fy and a mo fee fy mo then you say the name again with an m this time mony and there isnt any name that you cant rhyme every body do tony pretty good lets do billy very good lets do marsha a little trick with nick the name game,3,1wQjtqCtUqvaV6CjPKIGdc
